S.No,URL
6,https://www.myscheme.gov.in/schemes/nfbsup
7,https://www.myscheme.gov.in/accessibility-statement
8,https://www.myscheme.gov.in/disclaimer
9,https://www.myscheme.gov.in/schemes/fadsp1012e
10,https://www.myscheme.gov.in/schemes/evtala
11,https://www.myscheme.gov.in/schemes/sjpfsgc
14,https://www.myscheme.gov.in/schemes/dacsspostmsebcs
15,https://www.myscheme.gov.in/screen-reader
16,https://www.myscheme.gov.in/schemes/tkgthe
17,https://www.myscheme.gov.in/schemes/sgassobcaniphsaislecxixii
18,https://www.myscheme.gov.in/schemes/skerala
20,https://www.myscheme.gov.in/schemes/nn
21,https://www.myscheme.gov.in/schemes/rsdarc
22,https://www.myscheme.gov.in/schemes/drfdamt
23,https://www.myscheme.gov.in/schemes/akgbcsy
24,https://www.myscheme.gov.in/schemes/icdpsva-srgu
25,https://www.myscheme.gov.in/schemes/sapaandsdasdsggiapfafsd
26,https://www.myscheme.gov.in/schemes/js-esdcv
27,https://www.myscheme.gov.in/schemes/lls-g
28,https://www.myscheme.gov.in/schemes/mip
29,https://www.myscheme.gov.in/schemes/airavata
30,https://www.myscheme.gov.in/schemes/sak-dip
31,https://www.myscheme.gov.in/schemes/cdpnerqucsecoc
32,https://www.myscheme.gov.in/schemes/fapllf
33,https://www.myscheme.gov.in/schemes/csmsu
34,https://www.myscheme.gov.in/schemes/ddskpdfs
35,https://www.myscheme.gov.in/schemes/ncrfs
36,https://www.myscheme.gov.in/schemes/mnssby
37,https://www.myscheme.gov.in/schemes/jrfrafn
38,https://www.myscheme.gov.in/schemes/anby
39,https://www.myscheme.gov.in/schemes/ibrs
40,https://www.myscheme.gov.in/schemes/nsap-ignoaps
41,https://www.myscheme.gov.in/schemes/admptpfdap
42,https://www.myscheme.gov.in/schemes/spfrpcvwnmpcn-faascdmf
43,https://www.myscheme.gov.in/schemes/ignoaps-sikkim
44,https://www.myscheme.gov.in/schemes/skscy
45,https://www.myscheme.gov.in/schemes/sts
46,https://www.myscheme.gov.in/schemes/inspire-ff
47,https://www.myscheme.gov.in/schemes/gvmccgs
48,https://www.myscheme.gov.in/schemes/jjoaps
49,https://www.myscheme.gov.in/schemes/jrfbio
50,https://www.myscheme.gov.in/schemes/peaceifiear
51,https://www.myscheme.gov.in/schemes/ai-rtf
52,https://www.myscheme.gov.in/schemes/mmuy
53,https://www.myscheme.gov.in/schemes/ssds-punjab
54,https://www.myscheme.gov.in/schemes/plisaaci
